,Year,United States Census Bureau (2017)[29],Population Reference Bureau (1973–2016)[15],United Nations Department of Economic and Social Affairs (2015)[16],Maddison (2008)[17],HYDE (2007)[25],Tanton (1994)[19],Biraben (1980)[20],McEvedy & Jones (1978)[21],Thomlinson (1975)[22],Durand (1974)[23],Clark (1967)[24]
0,1950,2557628654,2516000000.0,2525149000.0,2544000000.0,2527960000.0,2400000000.0,2527000000.0,2500000000.0,2400000000.0,,2486000000.0
1,1951,2594939877,,2572850917.0,2571663000.0,,,,,,,
2,1952,2636772306,,2619292068.0,2617949000.0,,,,,,,
3,1953,2682053389,,2665865392.0,2665959000.0,,,,,,,
4,1954,2730228104,,2713172027.0,2716927000.0,,,,,,,
5,1955,2782098943,,2761650981.0,2769074000.0,,,,,,,
6,1956,2835299673,,2811572031.0,2822502000.0,,,,,,,
7,1957,2891349717,,2863042795.0,2879934000.0,,,,,,,
8,1958,2948137248,,2916030167.0,2939254000.0,,,,,,,
9,1959,3000716593,,2970395814.0,2995909000.0,,,,,,,
10,1960,3043001508,,3026002942.0,3041507000.0,3042000000.0,,,,,,
11,1961,3083966929,,3082830266.0,3082161000.0,,,,,,,
12,1962,3140093217,,3141071531.0,3135787000.0,,,,,,,3036000000.0
13,1963,3209827882,,3201178277.0,3201354000.0,,,,,,,
14,1964,3281201306,,3263738832.0,3266477000.0,,,,,,,
15,1965,3350425793,,3329122479.0,3333138000.0,,,,,,,
16,1966,3420677923,,3397475247.0,3402224000.0,,,,,,,3288000000.0
17,1967,3490333715,,3468521724.0,3471464000.0,,,,,,,
18,1968,3562313822,,3541674891.0,3543086000.0,,,,,,,
19,1969,3637159050,,3616108749.0,3615743000.0,,,,,,,
20,1970,3712697742,,3691172616.0,3691157000.0,3710000000.0,,3637000000.0,,3600000000.0,"3,600,000,000– 3,700,000,000",3632000000.0
21,1971,3790326948,,3766754345.0,3769818000.0,,,,,,,
22,1972,3866568653,,3842873611.0,3846499000.0,,,,,,,
23,1973,3942096442,,3919182332.0,3922793000.0,3923000000.0,,,,,,3860000000.0
24,1974,4016608813,,3995304922.0,3997677000.0,,,,,,,
25,1975,4089083233,,4071020434.0,4070671000.0,,,,3900000000.0,4000000000.0,,
26,1976,4160185010,,4146135850.0,4141445000.0,,,,,,,
27,1977,4232084578,,4220816737.0,4213539000.0,,,,,,,
28,1978,4304105753,,4295664825.0,4286317000.0,,,,,,,
29,1979,4379013942,,4371527871.0,4363144000.0,,,,,,,
30,1980,4451362735,,4449048798.0,4439529000.0,4461000000.0,,,,,,
31,1981,4534410125,,4528234634.0,4514838000.0,,,,,,,
32,1982,4614566561,,4608962418.0,4587307000.0,,,,,,,
33,1983,4695736743,,4691559840.0,4676388000.0,,,,,,,
34,1984,4774569391,,4776392828.0,4756521000.0,,,,,,,
35,1985,4856462699,,4863601517.0,4837719000.0,,5000000000.0,,,,,
36,1986,4940571232,,4953376710.0,4920968000.0,,,,,,,
37,1987,5027200492,,5045315871.0,5006672000.0,,,,,,,
38,1988,5114557167,,5138214688.0,5093306000.0,,,,,,,
39,1989,5201440110,,5230000000.0,5180540000.0,,,,,,,
40,1990,5288955934,,5320816667.0,5269029000.0,5308000000.0,,,,,,
41,1991,5371585922,,5408908724.0,5351922000.0,,,,,,,
42,1992,5456136278,,5494899570.0,5435722000.0,,,,,,,
43,1993,5538268316,,5578865109.0,5518127000.0,,,,,,,
44,1994,5618682132,,5661086346.0,5599396000.0,,,,,,,
45,1995,5699202985,5760000000.0,5741822412.0,5681575000.0,,,,,,,
46,1996,5779440593,,5821016750.0,5762212000.0,,,,,,,
47,1997,5857972543,5840000000.0,5898688337.0,5842122000.0,,,,,,,
48,1998,5935213248,,5975303657.0,5921366000.0,,,,,,,
49,1999,6012074922,,6051478010.0,5999622000.0,,,,,,,
50,2000,6088571383,6067000000.0,6127700428.0,6076558000.0,6145000000.0,,,5750000000.0,,,
51,2001,6165219247,6137000000.0,6204147026.0,6154791000.0,,,,,,,
52,2002,6242016348,6215000000.0,6280853817.0,6231704000.0,,,,,,,
53,2003,6318590956,6314000000.0,6357991749.0,6308364000.0,,,,,,,
54,2004,6395699509,6396000000.0,6435705595.0,6374056000.0,,,,,,,
55,2005,6473044732,6477000000.0,6514094605.0,6462987000.0,,,,,,,
56,2006,6551263534,6555000000.0,6593227977.0,6540214000.0,,,,,,,
57,2007,6629913759,6625000000.0,6673105937.0,6616689000.0,,,,,,,
58,2008,6709049780,6705000000.0,6753649228.0,6694832000.0,,,,,,,
59,2009,6788214394,6809972000.0,6834721933.0,6764086000.0,,,,,,,
60,2010,6858584755,6892319000.0,6916183482.0,,,,,,,,
61,2011,6935999491,6986951000.0,6997998760.0,,,,,,,,
62,2012,7013871313,7057075000.0,7080072417.0,,,,,,,,
63,2013,7092128094,7136796000.0,7162119434.0,,,,,,,,
64,2014,7169968185,7238184000.0,7243784000.0,,,,,,,,
65,2015,7247892788,7336435000.0,7349472000.0,,,,,,,,
66,2016,7325996709,7418151841.0,,,,,,,,,
